,CTRL1,CTRL2,CTRL3,CTRL4,CTRL5,CTRL6,CTRL7,CTRL8,CTRL9,CTRL10,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10
ENSG00000090104,9.86146889533841,7.31452876152392,7.52213001626312,7.6254073494346,2.43342419111413,3.05244926406532,2.43342419111413,2.43342419111413,7.89273310611418,10.0201980463461,10.4634749329931,11.8844282950352,6.3927201727963,10.1384570625835,9.4247384969054,10.6756162941976,8.64601953902262,11.4714549270143,7.37022711494493,9.15369199480045
ENSG00000207005,3.50355107506687,2.43342419111413,3.72389655340052,2.43342419111413,2.43342419111413,2.43342419111413,2.43342419111413,2.43342419111413,5.83395661653821,5.40955979329559,2.43342419111413,2.43342419111413,2.43342419111413,2.43342419111413,2.43342419111413,2.43342419111413,2.43342419111413,2.43342419111413,2.43342419111413,3.06928479092045
ENSG00000200087,2.43342419111413,2.43342419111413,2.43342419111413,2.43342419111413,3.82283062119245,3.89771187471707,2.43342419111413,2.43342419111413,5.18691557788134,5.06904570476864,3.02814615184532,3.9723779731431,2.43342419111413,3.22214842584004,3.28941580579361,3.47559698224431,3.56251975143466,3.1073094514965,3.25982460709834,3.67663899460092
ENSG00000196154,8.85946729478727,6.60481870264453,8.26727388565845,7.79951882652685,4.06985838965585,4.10301294703559,4.28385124948668,3.78169234416285,3.97481178419145,3.24404136194398,7.49998109555224,7.76640643946927,8.06410031579235,8.83799871002734,7.66213290531982,9.95982117978585,7.81220198677264,8.40752666767574,8.50086420114445,8.15365552585068
ENSG00000143127,6.91084115856668,8.83548780073554,8.20087792693271,7.17279372289158,6.17436548639277,5.90202130799451,4.12032954562574,5.16403190976209,7.26279261535861,7.72789658389773,8.12323925517392,10.5152995906318,8.08759347121746,9.00997798082138,8.84892078727419,9.38190349971138,8.66470562418311,8.19938563512948,8.33169850953346,9.18310654635473
ENSG00000143473,8.392408,6.538151,8.97314,8.306442,7.78198,7.354173,7.099336,7.277495,9.869769,8.893463,6.326711,5.632327,4.709196,6.003139,5.682423,5.442698,6.225189,5.74048,4.806044,6.705545
ENSG00000229344,8.220309,12.48978,7.978459,6.542213,2.9759,3.401452,2.433424,2.873759,4.043218,4.164269,6.795583,6.08247,6.39272,8.118929,6.488324,6.958673,6.291124,7.272712,8.140015,7.022566
ENSG00000208772,2.433424,2.433424,2.433424,2.433424,3.500302,3.77895,3.126734,4.058219,5.159201,5.107132,4.042742,3.708497,3.533209,3.222148,2.433424,3.62868,2.433424,3.747574,3.829347,3.813556
ENSG00000152049,7.50925,9.106503,9.227717,7.215003,3.726351,3.570739,4.177325,3.492284,6.942958,7.98889,7.836252,9.635041,9.736317,8.743653,10.1642,9.929658,8.205914,9.872359,8.247714,8.628287
ENSG00000184611,7.018802,6.020579,6.70415,6.314638,7.414458,7.304292,6.851315,7.399642,8.195927,8.612892,4.875823,4.280196,3.338387,4.042731,4.330759,4.171072,4.553665,3.58079,3.259825,4.478424
